ID,分類1,分類2,名称,住所,電話,ＦＡＸ,経度,緯度
2066,避難所,鳥取市,醇風小学校,鳥取市西町5丁目353,857227271,857227272,134.2316463,35.50591746
2067,避難所,鳥取市,西中学校,鳥取市寿町907,857233341,857233342,134.2254645,35.50592173
2068,避難所,鳥取市,みたから保育園,鳥取市寿町501,857224245,,134.226111,35.50439235
2069,避難所,鳥取市,醇風地区公民館,鳥取市西町5丁目353-1,857262568,,134.2315311,35.50638183
2070,避難所,鳥取市,遷喬小学校・遷喬地区公民館,鳥取市本町1丁目108-1,0857224539 ・ 278562,857243890,134.2330001,35.50135447
2072,避難所,鳥取市,修立小学校,鳥取市立川5丁目339,857233361,857233362,134.243091,35.4890878
2074,避難所,鳥取市,日進小学校,鳥取市吉方温泉1丁目131,857233371,857233372,134.2337432,35.49592381
2077,避難所,鳥取市,明徳小学校,鳥取市行徳1丁目201-3,857235661,857235662,134.2217944,35.49659707
2075,避難所,鳥取市,わかば保育園,鳥取市吉方温泉1丁目322,857222559,857304137,134.2349751,35.49391744
2078,避難所,鳥取市,明徳地区公民館,鳥取市行徳1丁目210-2,857230988,857230993,134.2206435,35.49732325
2080,避難所,鳥取市,東中学校,鳥取市立川町6丁目164,857223017,857223017,134.2511177,35.4862912
2079,避難所,鳥取市,稲葉山小学校,鳥取市卯垣2丁目657,857228511,857228512,134.2505484,35.49093064
2081,避難所,鳥取市,稲葉山地区公民館・稲葉山体育館,鳥取市卯垣5丁目57,857242542,857242546,134.2569333,35.4918199
2082,避難所,鳥取市,稲葉山体育館,鳥取市卯垣5丁目57,857242542,,134.2569883,35.49160393
2083,避難所,鳥取市,岩倉体育館,鳥取市立川町6丁目164,857225621,,134.2505422,35.48568146
2084,避難所,鳥取市,岩倉小学校,鳥取市立川町7丁目110,857278101,857274799,134.2550267,35.48328196
2085,避難所,鳥取市,城北小学校,鳥取市田園町4丁目324,857230381,857230382,134.2214501,35.51530711
2086,避難所,鳥取市,千代水地区公民館,鳥取市商栄町423-2,857274813,857274818,134.2082528,35.51713396
2087,避難所,鳥取市,千代水体育館,鳥取市商栄町422,857274813,,134.2082088,35.51729494
2089,避難所,鳥取市,中ノ郷小学校,鳥取市円護寺268,857263536,857263537,134.2364117,35.51866499
2089,避難所,鳥取市,中ノ郷小学校,鳥取市円護寺268,857263536,857263537,134.2364117,35.51866499
2090,避難所,鳥取市,中ノ郷地区公民館,鳥取市覚寺118,857215393,857215409,134.2353367,35.51891902
2093,避難所,鳥取市,浜坂体育館,鳥取市浜坂2丁目9-10,857270711,,134.2115081,35.52901567
2094,避難所,鳥取市,賀露小学校,鳥取市賀露町778,857281005,857313993,134.1962196,35.53053915
2091,避難所,鳥取市,浜坂小学校,鳥取市浜坂1丁目14-1,857270833,857215844,134.2175645,35.52915081
2095,避難所,鳥取市,富桑小学校,鳥取市西品治134,857224239,857215841,134.2194752,35.50440981
2097,避難所,鳥取市,富桑体育館,鳥取市西品治283-1,857274585,,134.2174115,35.50615657
2099,避難所,鳥取市,南中学校,鳥取市興南町91,857223617,857243925,134.2300999,35.48680347
2098,避難所,鳥取市,美保小学校,鳥取市吉成1丁目10-25,857224939,857224954,134.2239197,35.48393225
2092,避難所,鳥取市,千代保育園,鳥取市江津730,857237049,,134.2103094,35.52333337
2099,避難所,鳥取市,南中学校,鳥取市興南町91,857223617,857243925,134.2300999,35.48680347
